ID,duration,wav,words
19,3.69,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R020.wav,chiếc ổ thường xuyên được khóa chặt vào bàn
20,4.88,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R021.wav,làm tóc kiểu này trông bạn quý phái một cách tự nhiên
21,4.06,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R022.wav,đồng nghiệp tây bảo nhạc của tôi chỉ thoáng nghe
22,3.5,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R023.wav,đâu là tình yêu đích thực
23,4.94,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R024.wav,cũng sẽ gặp khó khăn vì không có hình ảnh để đối chiếu
24,5.0,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R025.wav,tay cầm một cọc tiền đếm xoèn xoẹt đưa cho cha mẹ cô dâu
25,3.75,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R026.wav,trong niềm phấn khởi của bà con ngư dân
26,3.59,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R027.wav,bắt đầu lọc cọc tiếng dùi đục của thợ mộc
27,3.78,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R028.wav,việc thiết lập tốc độ nháy chuột
28,3.16,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R029.wav,kết luận trên đã cho thấy
29,3.16,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R030.wav,lặn ngụp ven hồ tây để kiếm sống
30,3.97,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R031.wav,chúng tôi cứ len lén nhìn và chẳng thấy ngượng ngập
31,3.88,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R032.wav,của người mẹ đang phải cầm hơi bằng lá cây
32,3.94,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R033.wav,hun đúc nên tinh thần thi đấu quả cảm với đồng tháp
33,3.16,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R034.wav,không dè lần lên coi thử
34,4.12,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R035.wav,nên việc phá rừng đốt than ngày càng trở nên bức xúc
35,4.22,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R036.wav,ở đời phàm cái gì đúng thời cơ mới đạt hiệu quả
36,2.38,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R037.wav,còn có tác dụng
37,4.31,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R038.wav,dấu hiệu duy nhất để nhận ra kho lúa vĩnh thành
38,3.25,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R039.wav,nhưng rồi cũng khổ sở đến dường nào
39,4.44,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R040.wav,giá cả thuộc dạng vô cùng lên bổng xuống trầm tẹp nhẹp
40,3.38,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R041.wav,nữ thần tự do với bàn tay cầm đuốc
41,4.03,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R042.wav,những con sâu trúng thuốc rơi xuống giãy giụa
42,2.91,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R043.wav,vừa đi vừa ca nghêu ngao
43,3.38,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R044.wav,dưới đáy biển
44,4.38,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R045.wav,những sợi bún được cuộn thành dây chão
45,3.31,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R046.wav,khoanh tròn trên tấm lá chuối
46,3.84,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R047.wav,rơi vào cảnh đìu hiu bởi du khách thưa thớt
47,4.81,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R048.wav,sau đó những người này được trắc nghiệm khả năng ghi nhớ
48,3.03,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R049.wav,muốn sành điệu nguyên con
49,4.47,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R050.wav,với những tràng pháo tay và tiếng trầm trồ tán thưởng không ngớt
50,3.03,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R051.wav,hy vọng ở lần sinh nhật sau
51,4.47,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R052.wav,theo luật nhân quả mà gần đây khoa học đã chứng minh được
52,3.88,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R053.wav,ông lướt nhẹ ngón tay gầy guộc trên những con chữ
53,4.22,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R054.wav,phải dừng máy tàu và lặn xuống biển dùng dao mà cắt
54,4.22,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R055.wav,và một nhóm người đang hí húi quay phim
55,4.25,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R056.wav,hai bàn chân tí xíu kia mới đưa được các em về tới nhà
56,2.06,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R057.wav,chảy nhão dưới nắng
57,4.62,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R058.wav,tôi xin phép ra ngoài vị giám thị trẻ xẵng giọng
58,4.0,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R059.wav,nhưng thực ra có thể không phải là như vậy
59,3.75,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R060.wav,dác dáo dác tìm giúp việc sau tết
60,4.62,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R061.wav,nên đặt bút ký hợp đồng cho thuê với giá bèo
61,3.62,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R062.wav,tôi không sợ con đường dằng dặc từ thị thành
62,3.38,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R063.wav,một người gánh nước dưới khe suối lên
63,2.69,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R064.wav,sàng sảy thóc ngay ngõ gạch
64,3.62,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R065.wav,ngay cả nền sản xuất hiện đại như mỹ
65,4.69,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R066.wav,về hành vi truyền bá văn hóa phẩm đồi trụy không nguồn gốc
66,4.69,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R067.wav,có thể đây là cái cạm bẫy phá hoại của bọn phản động
67,5.16,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R068.wav,nếu tập trung tại trung tâm huấn luyện thể thao quốc gia i nhổn
68,4.19,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R069.wav,chiến khu rừng sác là một vùng đầm lầy nước mặn
69,3.19,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R070.wav,khiến chiếc thuyền tròng trành rồi lật nhào
70,3.47,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R071.wav,có thể cho ít nước muối vào lòng bàn tay
71,3.31,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R072.wav,tôi tình cờ phát hiện khả năng hút thìa muỗng
72,3.22,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R073.wav,khi cả hai vừa chiến thắng ngoạn mục
73,3.88,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R074.wav,tôi đã trải qua giây phút nhiễm sét như thế
74,3.53,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R075.wav,đã đạt gần đến chuẩn quốc tế
75,4.38,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R076.wav,khi làm mới chủ yếu là tráng nhựa chứ không mở rộng
76,4.81,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R077.wav,tìm cách lật mặt kẻ cậy quyền giữa chốn công đường
77,2.0,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R078.wav,dựng cứ dựng
78,2.31,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R079.wav,uy tín của một phóng viên
79,3.38,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R080.wav,một lò gạch chông chênh trên sườn đồi
80,3.0,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R081.wav,giữa quạnh hiu lá cỏ
81,2.84,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R082.wav,ben thấy hữu thật buồn cười
82,4.19,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R083.wav,chúng ta làm cho mọi thứ rối tung lên
83,2.56,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R084.wav,hết lần này đến lần khác
84,4.12,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R085.wav,lê thị hồng ngọc chủ quán cơm niêu trên đường tú xương
85,3.69,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R086.wav,vụ việc chỉ kết thúc sau cuộc đột kích
86,3.47,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R087.wav,bằng mọt cú sút xa đẹp mắt
87,3.75,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R088.wav,nói câu gì cũng phải có đầu có đuôi
88,2.62,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R089.wav,chớ không được nói nhăng nhít
89,5.03,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R090.wav,không được lấy que cời gõ gõ lên tấm lưng còng của các ngài
90,4.31,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R091.wav,luôn săn đầu khách với những lời nũng nịu đến mềm lòng
91,4.47,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R092.wav,làm thổi tung cả một đội quân của kẻ thù
92,3.72,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R093.wav,cảm thấy xúc động trước một điều gì đó
93,4.56,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R094.wav,làm dãy nhà cho thuê của một hộ dân phải bỏ trống
94,2.78,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R095.wav,tiêu hủy tất cả các bầy đàn
95,3.81,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R096.wav,mà nhà cửa và công việc chẳng đâu vào đâu
96,3.56,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R097.wav,bà con trong xóm đến dự rình rang
97,3.16,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R098.wav,chỉ chăm chắm vào những đối tượng cao cấp
98,3.06,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R099.wav,lùng sục mua heo bệnh chở đi giết mổ
99,5.06,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R100.wav,chúng xẩy nhà ra bụi đời đi giật dọc đâm chém quậy phá
100,1.81,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R101.wav,tuần rồi
101,2.53,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R102.wav,huỳnh phương đông
102,5.25,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R103.wav,hiện công an phường cốc lếu đang hoàn chỉnh hồ sơ
103,4.44,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R104.wav,mà lợn có khi chi phí nuôi không đủ huề vốn
104,4.47,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R105.wav,có khi anh ấy nói năng lỗ mãng và đánh em nữa
105,4.25,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R106.wav,như thích đi chầm chậm trên những con đường quê
106,4.56,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R107.wav,cho việc phát triển sự nghiệp của họ tại việt nam
107,2.94,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R108.wav,thử địa không dư hoàng hạc lâu
108,5.09,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R109.wav,mệ nói muốn nấu ăn ngon phải gửi gắm tâm trạng mình vào trong đó
109,3.81,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R110.wav,hiếm khi lặp lại những câu đã nói
110,4.38,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R111.wav,tôi sẽ không cố gắng để bán chúng hay trưng bày chúng nữa
111,3.16,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R112.wav,lời khuyên hữu ích dành cho bạn
112,4.84,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R113.wav,mà những mái hiên này còn có được sự riêng tư cần thiết
113,4.25,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R114.wav,minh đến phòng tập thể hình của trường để nâng tạ
114,3.31,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R115.wav,tết năm ngoái cả nhà chín miệng ăn
115,2.72,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R116.wav,vạt áo sễ xuống
116,4.06,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R117.wav,chứ không phải là từ các yêu cầu riêng lẻ
117,3.38,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R118.wav,công nghệ này sử dụng nguyên liệu đậu nành
118,2.47,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R119.wav,khi tên lửa bay lên
119,3.53,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R120.wav,hậu quả của những trận sên hút máu
120,5.19,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R121.wav,nằm ẩn mình trong vườn cây phía sau dãy phố ồn ào
121,3.56,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R122.wav,phần nào mang tính điều hòa thị trường
122,4.62,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R123.wav,tụi con còn dễ nhớ hơn phiên âm ra loằng ngoằng quá
123,3.34,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R124.wav,mang tính cơ hội trong thị hiếu pháp
124,4.56,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R125.wav,những tràng vỗ tay vang dội như thời hát nhóm
125,3.88,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R126.wav,chỉ hoàn thành nhõn ba cây số khúc giữa
126,4.97,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R127.wav,ban tài chính quản trị trung ương thuộc văn phòng trung ương đảng
127,4.41,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R128.wav,vì chỉ có mẹ là người dang rộng vòng tay
128,5.06,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R129.wav,đường vào hang phải qua nhiều đoạn ngoằn ngoèo với các hồ nước sâu
129,3.44,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R130.wav,giúp hãng tăng thị phần
130,3.19,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R131.wav,hừng hực đến tận nửa đêm
131,5.25,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R132.wav,sau đó vẽ thêm các nét phác họa màu đen vào lúc khác
132,2.88,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R133.wav,rất nhiều người dân
133,5.03,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R134.wav,đều quay cuồng đơn giản là do bạn đã quá chén
134,4.0,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R135.wav,và sắp xếp theo đúng bối cảnh phim
135,4.56,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R136.wav,và đã đơn phương yêu từ một phía như vậy
136,5.38,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R137.wav,mỗi tuần tôi lại có một chuyến giờ tour trà vinh sài gòn
137,3.12,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R138.wav,bên dưới một hàng chữ mảnh
138,5.25,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R139.wav,trong tôi phải tự răn mình đừng bao giờ tự huyễn
139,3.88,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R140.wav,mà sẽ có cách ra đề phù hợp
140,5.44,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R141.wav,hà anh tuấn một ngôi sao điểm hẹn mới toanh cũng thừa nhận mù nhạc
141,5.0,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R142.wav,có thêm niềm vui mới là ra tắm giữa các hũm nước cạn
142,3.66,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R143.wav,mang hình dáng của một con khỉ
143,1.72,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R144.wav,doanh doanh
144,3.94,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R145.wav,ngay cả trước khi nó được chính thức công bố
145,2.5,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R146.wav,anh lý chạy xe ôm
146,2.62,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R147.wav,việc đầu tiên tôi nghĩ đến
147,5.25,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R148.wav,nấu nguội ngậm gớm cái món thịt gà cứ dai ngoách cả ra
148,4.53,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R149.wav,ờ thằng đó cháu nội tư xạo
149,2.62,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R150.wav,trong suốt thế kỷ qua
150,2.94,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R151.wav,hay thâm tím chậm lành
151,3.31,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R152.wav,thường cung cấp những manh mối
152,5.5,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R153.wav,nhưng vẫn không sánh bằng nỗi đau của một con người bị chà đạp
153,3.28,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R154.wav,cho sơn chảy thẳng lên giấy
154,4.19,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R155.wav,ngày thường mắt trước mắt sau gồng gánh chạy phạt
155,5.12,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R156.wav,cứ đặt con dao dính tiết trên cái dĩa
156,4.31,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R157.wav,mà lòng cứ phân vân về lẽ điên tỉnh ở đời
157,4.03,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R158.wav,trên đường đi thỉnh thoảng xe phải dừng lại
158,4.47,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R159.wav,tía con hai rớt chuẩn bị châm lửa ngọn bùi nhùi
159,3.53,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R160.wav,bởi đó là một trong những điều răn chung
160,3.69,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R161.wav,người ta kịp kéo chị ta lại
161,4.94,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R162.wav,có thể kích thích sự phát triển của các tế bào não
162,1.84,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R163.wav,lịnh ra lịnh
163,2.81,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R164.wav,có thể gây ra những vết đỏ
164,3.84,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R165.wav,việc xem xét phải do hội đồng các chuyên gia
165,4.91,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R166.wav,chiến dịch cuối cùng trong nỗ lực chống nạn ăn cắp bản quyền
166,5.5,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R167.wav,sông hậu mới bắt đầu chuyển màu đỏ quạch cố hữu của phù sa
167,3.81,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R168.wav,đa số bán chui và quảng cáo như thần dược
168,3.69,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R169.wav,nghệ sĩ hài mai thanh dung và minh vượng
169,5.25,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R170.wav,tốt hơn là ngay từ đầu bạn hãy đặt ra những câu hỏi
170,3.88,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R171.wav,khi các nhà khoa học hàn quốc phát hiện
171,4.31,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R172.wav,câu chuyện về anh sinh viên tình nguyện bị tai nạn
172,3.62,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R173.wav,đo sâu như thế thì nguy hiểm lắm
173,4.44,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R174.wav,và dùng dây thắt lưng siết cổ anh nhiệm cho đến ngất xỉu
174,2.88,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R175.wav,bà con thường xuyên đau ốm
175,5.69,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R176.wav,họ chào nhau cười nói hô hố rồi nhay lên xe máy phóng đi
176,3.69,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R177.wav,của dì của mẹ và mấy em
177,2.88,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R178.wav,ngủ ngáy
178,2.69,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R179.wav,và ngăn ngừa các biến chứng
179,4.19,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R180.wav,nhưng phần biểu dương lực lượng đã gây ấn tượng mạnh
180,3.19,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R181.wav,chúng cam kết sẽ thả các con tin
181,3.75,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R182.wav,là trách nhiệm kiểm tra của quản lý thị trường
182,2.94,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R183.wav,để nâng cao chất lượng sản phẩm
183,3.88,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R184.wav,khúc hát chiến sĩ biên phòng thành phố
184,3.88,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R185.wav,với các pha dứt điểm gọn ghẽ
185,3.25,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R186.wav,nếu không biết được những điều này
186,5.0,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R187.wav,các em thậm chí có thể trở thành những nhà lập trình vi tính
187,3.53,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R188.wav,người ta cũng thấy dấu chân cà thọt của ông
188,4.12,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R189.wav,ở đó có khoa khám chuyên về lé cho trẻ em
189,4.25,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R190.wav,sáng sáng trong tiếng chim trao trảo râm ran đây đó
190,1.31,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R191.wav,khéo tán
191,3.69,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R192.wav,nhưng nó không còn là mái ấm của bạn nữa
192,3.72,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R193.wav,cung thiếu cầu tăng lằng nhằng chuyên nghiệp
193,3.66,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R194.wav,tổ chức hoạt động này nhằm có kế hoạch dài hạn
194,3.69,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R195.wav,túi chất đầy đồ vật trông kệnh lên
195,2.78,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R196.wav,công chúng đã quá lờn mắt
196,4.72,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R197.wav,nỗi thất vọng vỡ òa trong tâm hồn của cậu bé mù lòa
197,3.56,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R198.wav,giảnh chỉ cấy tối đa hai giảnh
198,1.69,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R199.wav,được tìm thấy
199,3.62,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R200.wav,làm mất đi bản chất tự nhiên của cuộc sống
200,3.81,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_T001.wav,là chị đây sao em không bắt máy
201,3.72,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_T002.wav,có trả tiền cho bố không thì bảo
202,3.56,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_T003.wav,nhận được tin này gọi lại cho tôi gấp
203,2.75,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_T004.wav,anh đang nằm mơ à
204,3.41,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_T005.wav,cái tổng đài này hay phết nhỉ
205,1.78,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_T006.wav,chém gió vãi
206,3.91,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_T007.wav,trường đại học khoa học tự nhiên thành phố hồ chí minh
207,3.19,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_T008.wav,một đồng chí đã qua đời vì bệnh lậu
208,3.22,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_T009.wav,cho tôi nhắn đại tin nào cũng được
209,2.38,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_T010.wav,thành thật chia buồn
210,3.28,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_T011.wav,kết thúc chương trình tuần này đến đây là hết
211,4.38,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_T012.wav,chỉ còn có bốn ngày cuối cùng cố lên anh nhé
212,2.94,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_T013.wav,làm sao để có tiền nhanh nhất
213,3.0,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_T014.wav,ta chỉ có hai nguyện vọng cuối cùng
214,3.56,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_T015.wav,một là gặp lại tất cả các em phò
215,3.31,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_T016.wav,hai là có thêm hai nguyện vọng nữa
216,2.16,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_T017.wav,trường muốn vợ
217,2.94,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_T018.wav,những sai lầm khi đi chọn khách sạn
218,2.56,vivos/train/waves/VIVOSSPK01/VIVOSSPK01_T019.wav,một ngày cuối đông
